,MFCC5_Dias,MFCC5_Sys,MFCC6_S2,MFCC5_S2,MFCC6_S1,MFCC6_Sys,MFCC6_Dias,MFCC5_S1,MFCC2_S2,MFCC4_S2,MFCC3_Dias,MFCC13_Dias,MFCC2_S1,MFCC7_Sys,MFCC7_Dias,MFCC9_Dias,MFCC1_S1,MFCC12_Dias,MFCC1_S2,MFCC4_Sys,MFCC11_Dias,MFCC13_Sys,MFCC2_Dias,MFCC3_Sys,MFCC9_S1,MFCC4_S1,MFCC4_Dias,MFCC1_Dias,MFCC9_Sys,MFCC14_Dias,MFCC10_Dias,MFCC9_S2,MFCC8_Dias,MFCC14_Sys,MFCC3_S2,MFCC12_Sys,MFCC7_S2,MFCC10_Sys,MFCC11_Sys,MFCC2_Sys,MFCC3_S1,MFCC10_S1,MFCC1_Sys,MFCC7_S1,MFCC10_S2,MFCC8_S1,MFCC12_S2,MFCC8_S2,MFCC14_S1,MFCC13_S1,Class
0,0.0053861000000000004,-0.13903,-0.16118,0.19291,0.31592,0.34176,0.33299,0.61602,5.5539,1.7086,0.64371,-0.07674199999999999,4.9964,0.19917,0.18773,0.11694,-7.3987,-0.087877,-5.6082,2.2494,0.034579,-0.083232,5.0254,0.51431,-0.016972,2.0889,2.4473,-11.415,0.12170999999999998,-0.0031788,-0.25804,0.08819600000000001,-0.054748000000000005,0.010123,2.2691,-0.08075399999999999,-0.07203899999999999,-0.26263000000000003,0.056302,4.9141,2.2348,-0.15521,-11.148,0.18682,0.052445000000000006,-0.1194,-0.020232,-0.10177,0.027152,-0.067691,abnormal
1,0.022267,-0.8609600000000001,-0.04964,-0.11832000000000001,0.084944,0.30669,0.041163,-0.42868999999999996,5.8408,0.89912,1.1561,-0.052884,6.4361,0.54066,0.12035,0.20201,0.39934000000000003,-0.035862,-2.4805,-0.37926,-0.034504,0.018652000000000002,5.8064,-1.4118,-0.025349,0.18162,1.8034,-9.0874,-0.11645,-0.015843,-0.071987,0.039099,-0.15658,0.029026999999999997,1.3278,0.072232,0.1429,-0.27947,0.031685000000000005,6.1933,-0.035604000000000004,-0.30189,-0.16485999999999998,0.38297,-0.020166999999999997,-0.024288999999999998,0.0015639,-0.12905999999999998,0.055947000000000004,0.043078,abnormal
2,0.44658000000000003,0.59195,0.082468,0.49066000000000004,0.004783699999999999,0.13629000000000002,0.17405,0.6196,5.4023,1.5961,2.0595,0.015040000000000001,5.582999999999999,0.046058999999999996,0.10265,-0.07451,-10.254000000000001,0.035838999999999996,-10.850999999999999,1.6803,-0.045491000000000004,0.006027899999999999,5.8877,2.4928,-0.068772,1.7556,1.7641,-18.816,-0.07597999999999999,-0.013304,-0.14026,-0.13854,-0.24741999999999997,-0.008841700000000001,2.5577,0.0081724,0.080871,-0.12065,-0.056302,5.5578,3.1022,0.011072,-15.698,-0.1437,-0.11158,-0.19222999999999998,-0.023939,-0.16768,-0.056480999999999996,-0.050516000000000005,abnormal
3,0.062019000000000005,0.0098506,-0.35068,-0.23815,0.30575,0.085281,0.17611,0.8535,6.1326,0.82175,1.5843,-0.081665,5.2538,0.15035,0.20926,0.068534,-4.3783,-0.039131,-3.8501,1.1937,-0.035114,-0.062157000000000004,6.1324,1.4893,-0.075571,1.8339,1.3649,-12.182,0.061815999999999996,-0.009404299999999999,-0.12440999999999999,0.19215,-0.1111,-0.00083356,2.1195,-0.048152999999999994,-0.18363,-0.093721,9.570000000000001e-05,6.047000000000001,3.0088,-0.097109,-11.110999999999999,0.071147,0.057939,-0.072483,-0.024263999999999997,-0.045076,-0.035841000000000005,-0.041443,abnormal
4,0.68416,0.64789,0.26909,0.7932,0.3569,0.17717,0.17740999999999998,1.0621,5.3314,1.5921,2.2129,-0.047326,4.9891,0.15107,0.16835,-0.075291,-5.1693,-0.06262000000000001,-7.8392,1.6754,-0.10017999999999999,-0.030535000000000003,5.5715,1.9919,-0.19252,2.0212,1.8202,-14.562000000000001,-0.04829,0.00095219,-0.11422,-0.14951,-0.10887999999999999,0.0068983000000000004,2.6039,-0.059299,0.09272799999999999,-0.088864,-0.08266,5.2134,3.1302,-0.17193,-14.177999999999999,0.048671,-0.15685,-0.13667,-0.082615,-0.1104,-0.016704,-0.015046,abnormal
5,0.48878999999999995,0.53925,0.21474000000000001,0.56135,0.14728,0.15552,0.13362000000000002,0.42985,5.37,1.3137,2.4433,-0.030195,4.5704,0.034181,-0.0054988,-0.10209,-1.1177,-0.025188,-2.9357,1.4719,-0.048668,-0.045058999999999995,5.5881,2.5077,-0.10569,1.028,1.3494,-3.5968,-0.088377,0.0040704999999999995,-0.09249099999999999,-0.093302,-0.18779,-0.0095902,2.4003,-0.020064,0.045709,-0.097715,-0.033807,5.8907,1.9416,-0.081125,-4.2856,0.0054797,-0.092378,-0.12665,-0.0091053,-0.15284,0.0039952,-0.033197000000000004,abnormal
6,0.17372,0.18627,0.028804000000000003,0.26744,-0.1269,0.040202,0.013685,0.26911999999999997,5.9727,0.9151100000000001,1.9521,-0.034888,5.8407,0.12474,0.12113,-0.03298,-4.7794,-0.034053,-6.4628,0.9323100000000001,-0.056480999999999996,-0.036564,6.4338,2.1386,-0.01208,1.2183,0.9819399999999999,-12.895,0.006538500000000001,0.004197,-0.08871799999999999,-0.00079987,-0.08106100000000001,-0.012458,2.3059,-0.039272,0.021358000000000002,-0.065722,-0.065488,6.2066,2.8458,-0.0050372,-11.739,-0.12395,-0.045105,-0.087645,-0.039731,-0.049079000000000005,-0.0081544,-0.024028,normal
7,0.49445,0.48886,0.37505,0.46518999999999994,0.23304,0.42801000000000006,0.36655,0.38163,4.8681,1.8579,1.913,-0.091951,4.1847,0.046775,0.0088887,0.039839,-8.4351,0.009256799999999999,-10.109,2.056,-0.058705999999999994,-0.083623,4.9801,1.9925,-0.012883000000000002,1.3213,1.8747,-10.467,0.054443,0.036137999999999997,-0.22965,0.004250199999999999,-0.28247,0.044754,1.9333,-0.010334999999999999,0.073387,-0.23437,-0.054417999999999994,5.1601,1.6852,-0.16877,-10.987,0.0046058,-0.23290999999999998,-0.18139,-0.0070259,-0.2459,0.011693,-0.06,abnormal
8,-0.052618,-0.065616,0.31743000000000005,0.15391,0.22945,0.49203,0.45703999999999995,0.1812,5.2716,1.8891,1.6657,-0.0655,5.1524,-0.028024,-0.051177999999999994,0.08472400000000001,-9.1361,0.011903,-9.6998,2.1214,0.074205,-0.0623,5.1687,1.5952,-0.031431,1.9771,2.3184,-11.822000000000001,0.074257,0.084069,-0.39879000000000003,-0.0076411000000000005,-0.42735,0.08402799999999999,1.8884,0.011597,-0.022583000000000002,-0.38871999999999995,0.066544,5.0826,2.0805,-0.30036999999999997,-11.482999999999999,-0.11207,-0.32086,-0.4006,0.032762,-0.36732,0.06306,-0.047831,normal
9,-0.22365,-0.22608000000000003,0.0041733000000000004,0.035075,-0.21364,0.022428,0.17723,-0.053316999999999996,5.8477,1.0988,0.17828,-0.038507,5.9003,0.081913,0.18495999999999999,0.09400700000000001,-7.5221,-0.062753,-8.9511,1.5162,0.010347,-0.042494,5.5729999999999995,0.34184000000000003,0.10122,1.1722,1.8758,-15.529000000000002,0.06315,0.019386,-0.17432999999999998,0.045079,-0.28931,0.021953999999999998,1.0943,-0.041635000000000005,0.15642,-0.15783,-0.024613,5.6639,1.5023,-0.014176,-14.335999999999999,-0.058762,-0.20012,-0.11642999999999999,0.0010927999999999999,-0.039209,0.016489,-0.034848000000000004,abnormal
