,atomPos1,atomLen4,atomPos4,atomFreq5,atomPos5,atomLen6,atomFreq6,atomPos6,atomLen7,atomFreq7,atomLen8,atomLen11,atomFreq11,atomFreq13,atomFreq15,LPC_Coefficient2,LPC_Coefficient4,LPC_Coefficient6,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient14,Class
0,512.44,272.89,358.56,0.012424,401.56,198.22,0.012804,415.0,241.78,0.011773,256.0,162.67,0.015842,0.018555000000000002,0.026367,-0.62574,-0.09120299999999999,0.021835,0.0041419,0.032642000000000004,-0.0028106999999999997,-0.007185899999999999,abnormal
1,265.54,204.31,273.08,0.017953999999999998,288.92,194.46,0.018328999999999998,260.92,237.54,0.014799000000000001,189.54,158.77,0.019606000000000002,0.016526,0.020883000000000002,-0.66822,-0.04331,0.08404600000000001,0.046261000000000004,0.025516999999999998,0.014925,-0.0073001,abnormal
2,392.96,235.52,346.88,0.015,355.84,230.4,0.016172,513.28,224.0,0.017031,218.88,175.36,0.019062,0.011641,0.014062999999999999,-0.65209,-0.070702,0.093651,0.054065999999999996,0.023949,-0.0012010999999999999,-0.006012600000000001,abnormal
3,1.8286,201.14,206.17,0.015681,293.83,239.54,0.012388,302.06,187.43,0.015625,192.0,196.57,0.020089,0.017188,0.021818999999999998,-0.55024,-0.098094,0.057823,0.059405999999999994,0.039445999999999995,0.017679,-0.014506,abnormal
4,5.2308,144.62,187.62,0.018292,126.92,145.85,0.015437000000000001,215.08,174.77,0.016263999999999997,175.38,157.54,0.020132,0.020733,0.020883000000000002,-0.48213999999999996,-0.055762,0.060989999999999996,0.043123,0.029287,0.02682,-0.0098993,abnormal
5,603.2,154.67,711.2,0.42318,631.47,194.13,0.41849,535.2,213.33,0.39382,133.33,189.87,0.36328,0.35762,0.37858,1.5377,2.1846,1.9574,1.3062,0.9907299999999999,0.75316,0.19072,abnormal
6,33.333,189.71,183.62,0.013625,212.76,192.0,0.017671,265.43,151.62,0.019206,215.62,216.38,0.013253000000000001,0.019857,0.016927,-0.78387,-0.014875999999999999,0.10647999999999999,0.047186,0.014252,-0.0075764,-0.0036016,normal
7,447.69,242.2,659.29,0.39959,498.04,181.96,0.39691,541.96,180.71,0.39905,217.73,195.14,0.39805,0.40487,0.41234,1.3561,1.2455,0.9617,0.7560100000000001,0.64728,0.5865,0.14219,abnormal
8,151.65,209.39,258.61,0.01571,319.48,248.35,0.018725,304.87,228.17,0.017154,197.57,186.43,0.018767,0.021824,0.021951,-0.5521,-0.066251,0.05801799999999999,0.043147000000000005,0.02864,0.019336000000000002,0.00031266,normal
9,151.27,138.18,181.73,0.015225,249.09,152.73,0.016380000000000002,224.64,203.64,0.0182,204.36,157.09,0.022994,0.020241,0.021174000000000002,-0.8556600000000001,0.062782,0.113,0.004645600000000001,-0.014083000000000002,-0.014411000000000002,0.010826,abnormal
10,65.684,114.53,472.42,0.026521,394.84,122.95,0.021176,288.11,143.16,0.025287999999999998,130.53,199.58,0.021279,0.022872,0.023797,-0.7047,-0.004760800000000001,0.10413,0.034276999999999995,0.0018256,-0.0033773,0.0044065,normal
11,424.0,190.86,237.0,0.018415,296.86,171.43,0.022252,475.71,198.86,0.017439,205.71,182.86,0.017578,0.018066,0.026786,-0.59124,-0.07997,0.051439,0.055608000000000005,0.049061,0.036552,-0.022344,normal
12,54.105,190.32,411.37,0.016036,219.05,162.53,0.012695,234.63,176.0,0.016345,229.89,243.37,0.013928999999999999,0.014648,0.022101,-0.54089,-0.091804,0.071131,0.066508,0.043132,0.018477,-0.012697,abnormal
13,47.5,220.0,255.12,0.015808000000000003,247.25,210.0,0.014525999999999999,347.12,243.0,0.015869,211.0,189.0,0.021057,0.019531,0.022949,-0.58925,-0.086128,0.08369299999999999,0.070538,0.050092000000000005,0.016246,-0.019893,abnormal
14,236.63,274.53,353.26,0.011667,306.74,236.63,0.01213,447.79,176.0,0.011308,231.58,217.26,0.015831,0.014750999999999998,0.019428,-0.57295,-0.097496,0.036724,0.043821,0.036065,0.02725,-0.0019936,abnormal
15,30.451999999999998,215.74,300.65,0.013798,325.68,218.84,0.014365000000000001,332.9,307.61,0.014302,180.65,239.48,0.020916999999999998,0.014238999999999998,0.019216,-0.5028600000000001,-0.10445,0.034136,0.05358400000000001,0.048671,0.030188999999999997,-0.0060233000000000005,normal
16,652.21,160.0,215.16,0.016396,410.21,157.47,0.018606,457.68,187.79,0.018298,238.32,219.79,0.017424000000000002,0.018606,0.020816,-0.6618,-0.059444000000000004,0.070013,0.034384,0.018841999999999998,0.01284,-0.0087846,abnormal
17,8.0,138.18,181.64,0.015269999999999999,128.73,218.18,0.016246,253.27,173.09,0.014027000000000001,241.45,256.0,0.014381999999999999,0.023082,0.019531,-0.56202,-0.067242,0.07456,0.050319,0.030091000000000003,0.015328,-0.012309,abnormal
18,21.943,138.97,129.71,0.017800999999999997,188.11,167.31,0.018025,291.54,178.29,0.014787999999999999,169.14,164.57,0.018248,0.021931,0.02221,-0.80915,-0.0014200999999999999,0.10868,0.035683,0.012098000000000001,-0.014263,-0.0050481,normal
19,69.382,259.49,176.29,0.013352000000000001,228.51,183.85,0.018608,258.04,199.56,0.018643,168.73,158.84,0.019141,0.021023,0.023366,-0.7612,-0.0037201,0.084896,0.027924,0.011927,0.00092063,-0.0080065,abnormal
20,715.87,161.03,390.19,0.015436000000000002,329.03,231.23,0.014491,405.94,241.55,0.018586000000000002,244.65,206.45,0.018397,0.020665,0.016066,-0.6034,-0.11802,0.042276999999999995,0.065184,0.048905000000000004,0.036067,-0.015183000000000002,abnormal
21,41.655,184.28,354.62,0.010506,227.31,194.21,0.014952000000000002,340.69,212.97,0.012796,219.59,205.24,0.017511000000000002,0.01805,0.017848,-0.59646,-0.075851,0.048668,0.049477999999999994,0.036732,0.022356,-0.0010015,abnormal
22,34.086999999999996,212.87,298.43,0.018341999999999997,361.74,274.09,0.016474000000000003,308.52,193.39,0.016474000000000003,272.7,182.26,0.019701,0.015031000000000001,0.021315,-0.64183,-0.046883999999999995,0.082923,0.052323,0.030412,0.00097177,-0.0025494,abnormal
23,7.6667,192.0,95.667,0.024577,180.0,230.67,0.020263999999999997,209.5,164.0,0.026204,129.33,114.67,0.032715,0.030355,0.03304,-0.62044,0.030889999999999997,0.048831,0.040842,0.045767,0.031659,0.0021761,abnormal
24,311.52,226.91,246.06,0.018348,302.06,245.33,0.011778,198.3,174.55,0.017874,155.15,181.33,0.01888,0.019709,0.022135,-0.50231,-0.1013,0.033960000000000004,0.05524199999999999,0.043026999999999996,0.033306999999999996,-0.007390600000000001,normal
25,173.8,224.0,330.9,0.013818,274.8,248.8,0.013623,227.8,198.4,0.014159999999999999,174.4,177.6,0.018018,0.017578,0.018652000000000002,-0.7532399999999999,-0.039611,0.093123,0.048889,0.020515000000000002,0.0013548,-0.0040317,abnormal
26,20.444000000000003,239.11,112.0,0.010471,190.0,200.89,0.012804,168.44,195.56,0.019150999999999998,193.78,143.11,0.020074,0.022732,0.021484,-0.4876,-0.078417,0.055299,0.053078,0.042349,0.026152999999999996,-0.012115,normal
27,602.67,149.33,292.0,0.015494999999999998,474.4,233.6,0.016992,300.0,168.53,0.017383000000000003,199.47,209.07,0.017838999999999997,0.016536000000000002,0.019206,-0.6721199999999999,-0.063114,0.064855,0.050027999999999996,0.02937,0.0123,-0.0097935,normal
28,365.26,168.42,224.0,0.014854,221.79,154.11,0.016036,250.32,212.21,0.018709,165.05,189.47,0.017731999999999998,0.021741,0.021896000000000002,-0.5795399999999999,-0.049886,0.06929600000000001,0.046926,0.028412,0.014232,-0.0021409000000000003,normal
29,180.26,176.34,220.26,0.014003999999999999,415.91,239.66,0.015209,331.91,203.57,0.015833,185.19,205.62,0.015916,0.016955,0.019656,-0.60952,-0.071277,0.07562200000000001,0.056602,0.031139,0.007168000000000001,-0.0046332,abnormal
30,116.42,224.84,216.84,0.017013,291.05,182.74,0.017116,421.37,272.0,0.016447,158.32,181.89,0.020765000000000002,0.01876,0.025493000000000002,-0.9395,0.065552,0.14897,0.0080567,-0.030055000000000002,-0.040671,0.0080733,abnormal
31,12.25,202.0,275.75,0.016968,333.5,242.0,0.014587000000000001,238.25,203.0,0.015747,221.0,195.0,0.020812999999999998,0.016418000000000002,0.013916,-0.8071699999999999,-0.05782,0.069368,0.042874,0.023263,-0.0053192,-0.0056434,normal
32,86.93299999999999,234.67,273.33,0.017904,373.33,250.67,0.013607,365.6,185.6,0.017122,221.87,221.87,0.019141,0.019727,0.018424,-0.90689,0.041222,0.14423,0.022987,-0.020616,-0.038401,0.012537000000000001,abnormal
33,84.645,210.58,199.35,0.011908,239.48,203.35,0.014743000000000001,306.45,230.19,0.013734999999999999,219.87,199.23,0.01594,0.019216,0.023627000000000002,-0.57919,-0.086781,0.06973700000000001,0.067352,0.047833,0.020541999999999998,-0.013219,abnormal
34,44.25,188.0,161.5,0.015625,235.12,208.0,0.012756,408.25,253.0,0.014893,218.0,231.0,0.013611000000000002,0.020203,0.017761000000000002,-0.64467,-0.070271,0.064567,0.053999,0.031087,0.015352000000000001,-0.0040723,normal
35,459.68,170.38,292.32,0.020481,400.11,143.57,0.018897999999999998,298.81,161.73,0.023174,174.7,234.38,0.022593000000000002,0.02613,0.025918,-0.8507399999999999,0.056764999999999996,0.10393,0.0026907,-0.0099149,-0.0095662,0.0025092,abnormal
36,36.936,198.81,352.77,0.013630000000000001,299.06,181.11,0.009641,206.81,245.11,0.013630000000000001,190.64,212.43,0.016124,0.02136,0.018991,-0.55701,-0.093776,0.05966799999999999,0.061401,0.040586000000000004,0.024528,-0.009411200000000002,abnormal
37,287.3,212.87,301.91,0.013628999999999999,297.22,234.43,0.012440999999999999,311.83,234.43,0.013757,226.78,215.65,0.017069,0.019531,0.019615999999999998,-0.6662899999999999,-0.092177,0.059646000000000005,0.048405000000000004,0.032598,0.014118,-0.0071866,normal
