,MFCC1_S1,MFCC6_S1,MFCC2_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC5_Sys,MFCC5_Dias,MFCC6_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,Class
0,-7.3987,0.31592,5.5539,1.7086,0.19291,-0.16118,-0.13903,0.0053861000000000004,0.33299,-0.087877,-0.07674199999999999,-0.0031788,abnormal
1,0.39934000000000003,0.084944,5.8408,0.89912,-0.11832000000000001,-0.04964,-0.8609600000000001,0.022267,0.041163,-0.035862,-0.052884,-0.015843,abnormal
2,-10.254000000000001,0.004783699999999999,5.4023,1.5961,0.49066000000000004,0.082468,0.59195,0.44658000000000003,0.17405,0.035838999999999996,0.015040000000000001,-0.013304,abnormal
3,-4.3783,0.30575,6.1326,0.82175,-0.23815,-0.35068,0.0098506,0.062019000000000005,0.17611,-0.039131,-0.081665,-0.009404299999999999,abnormal
4,-5.1693,0.3569,5.3314,1.5921,0.7932,0.26909,0.64789,0.68416,0.17740999999999998,-0.06262000000000001,-0.047326,0.00095219,abnormal
5,-1.1177,0.14728,5.37,1.3137,0.56135,0.21474000000000001,0.53925,0.48878999999999995,0.13362000000000002,-0.025188,-0.030195,0.0040704999999999995,abnormal
6,-4.7794,-0.1269,5.9727,0.9151100000000001,0.26744,0.028804000000000003,0.18627,0.17372,0.013685,-0.034053,-0.034888,0.004197,normal
7,-8.4351,0.23304,4.8681,1.8579,0.46518999999999994,0.37505,0.48886,0.49445,0.36655,0.009256799999999999,-0.091951,0.036137999999999997,abnormal
8,-9.1361,0.22945,5.2716,1.8891,0.15391,0.31743000000000005,-0.065616,-0.052618,0.45703999999999995,0.011903,-0.0655,0.084069,normal
9,-7.5221,-0.21364,5.8477,1.0988,0.035075,0.0041733000000000004,-0.22608000000000003,-0.22365,0.17723,-0.062753,-0.038507,0.019386,abnormal
10,-6.2211,-0.4027,6.1046,1.2237,0.077472,-0.27814,-0.21645,-0.017311,-0.061266999999999995,-0.029485,-0.040419,0.011479999999999999,normal
11,-9.9166,0.10914000000000001,5.7997,1.3449,0.32265,0.089634,-0.1352,-0.07803500000000001,0.18714,0.04584,-0.08530499999999999,-0.0099205,normal
12,-2.8026,0.085436,5.2449,1.6169,0.31048000000000003,0.48544,-0.38221,-0.36296999999999996,0.81604,-0.097611,-0.0098679,0.00031062,abnormal
13,-6.7164,-0.24775999999999998,5.5258,1.6318,0.60951,0.15125,0.09012300000000001,0.9073100000000001,0.25125,0.00073796,0.018747,0.032934,abnormal
14,-6.433,0.22915,5.7299,1.2652,0.23549,0.21151,0.16834000000000002,0.1488,0.3955,-0.076609,-0.08745499999999999,0.084578,abnormal
15,-3.2093,0.007204,5.8173,1.0112,0.21436,-0.0063774999999999995,0.035686,0.049712,0.12568,-0.016493,-0.064225,-0.014496,normal
16,-10.610999999999999,-0.02072,5.8017,1.2533,0.25683,0.038544999999999996,0.15763,0.19378,0.3081,-0.024919999999999998,-0.030724,0.015482,abnormal
17,-6.2532,0.21436,5.4208,1.5467,0.72334,0.25882,0.56742,0.76543,0.21125,-0.044287,-0.016627,-0.0042787,abnormal
18,-6.8862,-0.08327999999999999,5.8862,1.1591,0.24234,0.016991,0.2263,0.33266,0.15615,0.007052299999999999,-0.044092,0.0016224,normal
19,-1.9234,0.049844,5.9434,0.9480700000000001,0.08654400000000001,0.17840999999999999,-0.16015,0.044282999999999996,0.1027,0.006705,-0.057453,0.008427,abnormal
20,-10.809000000000001,0.23872,5.9193,1.0487,0.5108600000000001,0.15407,0.35395,0.41767,0.15072,-0.021294,-0.039605,-0.009980500000000002,abnormal
21,-5.5736,0.20714000000000002,5.5604,1.3764,0.26921,0.1839,-0.52632,0.45116000000000006,0.3597,-0.052601,-0.051199,0.012112000000000001,abnormal
22,-3.4291,-0.056012,5.9155,1.0585,0.00010238,-0.013441999999999999,-0.32272,0.20759,0.097288,-0.017903,-0.033993,-0.0084277,abnormal
23,2.4358,-0.3087,5.9808,0.66374,-0.68275,-0.40926999999999997,-1.3332,0.40324,0.23792,-0.015891,-0.03115,0.029937000000000002,abnormal
24,-5.0421,0.14570999999999998,5.7093,1.3352,0.56712,0.23260999999999998,0.075213,0.1606,0.26349,-0.007975399999999999,-0.093463,0.022855,normal
25,-10.269,0.095559,5.8364,1.0056,0.2267,0.06929199999999999,-0.16742,0.00098894,0.17608,-0.081866,-0.033658999999999994,0.021745,abnormal
26,-5.8497,-0.0070845,6.0053,1.0788,0.30196,-0.16204000000000002,-0.023552,0.18542,-0.061392999999999996,0.0057239,-0.050797,-0.0015462,normal
27,-10.169,0.18141,5.5839,1.3677,0.3907,0.20142000000000002,0.078082,0.16879,0.22053000000000003,0.024487000000000002,-0.09827799999999999,0.013531999999999999,normal
