,atomFreq1,atomFreq2,atomFreq8,atomFreq5,atomFreq6,atomFreq12,atomFreq7,atomPos5,atomFreq4,LPC_Coefficient6,atomFreq3,atomFreq14,atomFreq13,atomFreq10,atomPos7,atomFreq11,atomFreq9,LPC_Coefficient5,atomFreq15,atomAmp1,atomAmp3,LPC_Coefficient8,atomAmp4,atomAmp2,LPC_Coefficient11,atomAmp14,atomAmp5,atomAmp12,atomPos13,LPC_Coefficient1,LPC_Coefficient9,atomAmp15,LPC_Coefficient13,LPC_Coefficient3,atomAmp13,LPC_Coefficient2,atomLen1,LPC_Coefficient7,LPC_Coefficient12,atomAmp6,atomPos11,atomPos6,atomPos10,atomPos14,LPC_Coefficient10,atomPos4,atomPos3,LPC_Coefficient4,LPC_Coefficient14,atomAmp7,atomPos12,atomAmp8,atomPos2,atomPos9,LPC_Coefficient15,atomAmp9,atomPos8,atomAmp11,atomAmp10,atomPos1,atomPos15,atomLen2,atomLen6,atomLen3,atomLen7,Class
0,0.019531,0.015625,0.023438,0.015625,0.011719,0.03125,0.03125,96,0.023438,0.11305,0.015625,0.054688,0.0078125,0.03125,784,0.015625,0.015625,0.13805,0.015625,0.68726,0.36384,-0.048487,0.27681,0.6188600000000001,0.05089,0.066383,0.19975,0.1285,864,-0.72449,-0.012206,0.065285,-0.007145,-0.0051262,0.11105,0.02585,256,-0.028225,0.041256,0.16869,480,608,304,832,0.014908000000000001,800,0,-0.027462999999999998,-0.015009999999999999,0.14292,0,0.13821,0,0,0.011264,0.14294,64,0.10957,0.13606,672,192,256,256,128,64,abnormal
1,0.019531,0.015625,0.10937999999999999,0.019531,0.046875,0.03125,0.03125,608,0.019531,0.10595999999999998,0.03125,0.027344,0.054688,0.011719,544,0.015625,0.050781,0.14649,0.054688,1.2349,0.34126,0.036581999999999996,0.37932,0.62092,0.039451,0.17051,0.36716,0.21574000000000002,32,-0.7599899999999999,0.048721,0.14205,0.026687,0.14151,0.17437,0.28654,256,-0.010559,0.063734,0.26729,40,576,512,544,4.39e-05,0,20,-0.005797699999999999,0.043523,0.26541,0,0.22696,0,352,0.0098637,0.22132,128,0.16701,0.21198000000000003,512,240,128,256,32,64,abnormal
2,0.015625,0.03125,0.023438,0.015625,0.023438,0.054688,0.023438,672,0.03125,0.1068,0.015625,0.027344,0.03125,0.023438,816,0.011719,0.011719,0.18669000000000002,0.0625,0.38903000000000004,0.2034,0.082609,0.17382999999999998,0.27476999999999996,0.02999,0.040805,0.12372000000000001,0.046981,728,-0.8469899999999999,0.032705,0.039997000000000005,0.020622,-0.039355,0.045471,0.45431000000000005,256,-0.018091,0.064776,0.11175999999999998,128,16,192,544,-0.055926,28,512,-0.15353,0.043559,0.08342999999999999,0,0.07461799999999999,720,416,0.045718,0.059807000000000006,112,0.050963,0.054770000000000006,0,4,128,128,256,128,abnormal
3,0.015625,0.015625,0.015625,0.019531,0.042969,0.03125,0.011719,32,0.0,0.076409,0.015625,0.0,0.03125,0.039062,96,0.027344,0.0625,0.029347,0.0078125,1.7630000000000001,0.76307,0.023297,0.35658,0.9466600000000001,-0.003803,0.08345599999999999,0.38067,0.17063,656,-0.50708,0.02541,0.11738,-9.67e-05,0.043861000000000004,0.14197,-0.026102999999999998,256,0.045211,-0.016499,0.3277,640,640,16,24,0.013402,12,640,-0.022747999999999997,0.0088445,0.23393000000000003,0,0.20843000000000003,0,640,0.022346,0.20440999999999998,768,0.17356,0.18572,0,608,128,256,256,256,abnormal
4,0.015625,0.03125,0.03125,0.011719,0.015625,0.015625,0.03125,544,0.027344,-0.37855,0.019531,0.03125,0.019531,0.0078125,16,0.0625,0.03125,0.62211,0.03125,0.47731999999999997,0.2201,0.28529,0.16432,0.25298000000000004,0.16756,0.043558,0.11165,0.072976,192,-1.8301,-0.25061,0.047796,0.087667,-0.98193,0.05467999999999999,1.6954,256,-0.034884,-0.14527,0.10444,32,128,0,64,0.015127000000000002,0,416,-0.017116,0.082785,0.10254,552,0.094057,40,36,-0.070776,0.069914,464,0.070129,0.076193,32,520,64,256,256,32,abnormal
5,0.40625,0.375,0.33594,0.33203,0.35938000000000003,0.33594,0.40625,992,0.40625,4.7268,0.375,0.41016,0.33203,0.40625,244,0.34375,0.375,5.1409,0.4375,1.3219999999999998,1.1327,3.4411,1.0882,1.2048,1.6119999999999999,0.88082,1.0476,0.9076700000000001,1248,2.7929,2.7149,0.87576,0.78054,5.4547,0.8993,4.5949,32,4.1663,1.188,0.99464,24,808,1092,1472,2.1071,692,832,5.4641,0.38816,0.982,912,0.9795200000000001,1408,1140,0.10550999999999999,0.94781,704,0.9122299999999999,0.93281,628,736,32,64,256,32,abnormal
6,0.023438,0.015625,0.054688,0.035156,0.027344,0.0078125,0.015625,512,0.046875,0.095321,0.03125,0.03125,0.07421900000000001,0.03125,144,0.03125,0.046875,0.028836,0.0625,0.66137,0.40428000000000003,0.060535000000000005,0.23978000000000002,0.5687800000000001,-0.033744,0.098333,0.22386999999999999,0.092027,544,-0.6110300000000001,-0.0032594,0.088211,-0.010924,0.038348,0.10563,-0.11281,128,0.10812999999999999,-0.011762,0.14848,560,608,0,168,-0.041455,0,104,0.0068182,0.0025266999999999998,0.18363,0,0.13637,0,608,0.076485,0.12828,0,0.14226,0.14908,16,560,64,256,64,64,normal
7,0.36719,0.41406000000000004,0.39061999999999997,0.42188000000000003,0.34375,0.4375,0.39061999999999997,944,0.42968999999999996,2.6791,0.375,0.375,0.46093999999999996,0.4375,440,0.42188000000000003,0.42578,2.7752,0.46875,0.22716999999999998,0.18392999999999998,2.2619,0.18391,0.20803000000000002,1.3601,0.13962,0.17405,0.14252,1376,1.8447,1.9805,0.15425,0.65358,2.5662,0.14281,2.3606,128,2.4862,1.0079,0.16465,1552,24,344,1636,1.6866,1344,492,2.7458,0.33087,0.16348,1244,0.16104000000000002,0,416,0.058574,0.15604,808,0.14502,0.14542,624,148,128,64,32,64,abnormal
8,0.03125,0.019531,0.015625,0.015625,0.03125,0.03125,0.023438,112,0.03125,-0.6957,0.023438,0.027344,0.03125,0.046875,416,0.019531,0.023438,0.32926,0.015625,0.16143,0.12634,0.065589,0.1012,0.15764,0.029407,0.046831,0.095542,0.054113999999999995,0,-1.6627,-0.42022,0.056889999999999996,0.30148,-1.6868,0.06365900000000001,2.1846,256,0.5416300000000001,-0.22741999999999998,0.094169,448,16,576,800,0.38466999999999996,80,192,0.7693300000000001,-0.13045,0.08383099999999999,296,0.076914,640,544,0.0030664999999999998,0.07195399999999999,256,0.053091,0.069409,480,40,256,64,128,128,normal
9,0.027344,0.015625,0.0625,0.03125,0.0625,0.09375,0.015625,624,0.015625,-0.46926999999999996,0.03125,0.03125,0.046875,0.03125,32,0.085938,0.039062,0.051491999999999996,0.035156,0.17559,0.17151,-0.13758,0.10454000000000001,0.19512000000000002,-0.20301,0.039824,0.09552999999999999,0.051026999999999996,96,-1.3814,-0.12911,0.038219,0.075943,-1.5528,0.044201,1.8641,256,0.58568,0.036449,0.092557,576,64,12,72,0.30403,608,60,0.84864,-0.078598,0.080085,40,0.069123,8,544,0.07620299999999999,0.067909,668,0.051871,0.069758,0,640,64,128,32,256,abnormal
